compound,auid,Egap,Egap_type,enthalpy_formation_atom,volume_atom,spacegroup_relax,Pearson_symbol_relax,aurl
Ag1Al2B1,aflow:9cce6a4c19ddf4a4,,,0.496308,14.3168,35,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TBCC004.BCA
Ag1Al2B1,aflow:a099848abb943c3f,,,0.735814,15.2946,47,oP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TBCC015.BCA
Ag1Al2B1,aflow:adb653f9210bcad0,,,0.672783,14.5998,225,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/T0001.AB2C
Ag1Al2B1,aflow:b3ba2e0ddc5d0ac1,,,0.407097,14.0522,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TBCC011.BCA
Ag1Al2B1,aflow:d456784bb4d4f19b,,,0.441114,14.6512,160,hR4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC004.BCA
Ag1Al2B1,aflow:d9961309be9add22,,,0.628383,14.2809,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC016.BCA
Ag1Al2B1,aflow:e14c692bc5f5b3d3,,,0.614551,14.2305,139,tI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC013.BCA
Ag1Al2B1,aflow:e1d7167b2dc3a086,,,0.560917,14.5962,10,mP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC014.BCA
Ag1Al2B1,aflow:e4fbe14ba2834d91,,,0.407611,15.9784,25,oP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC005.BCA
Ag1Al2B1,aflow:e9bac3c0352ad71c,,,0.49608,14.2349,99,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TBCC006.BCA
Ag1Al2B1,aflow:ea8eabe6bab35b9e,,,0.371755,15.4841,10,mP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TBCC010.BCA
Ag1Al2B1,aflow:fa6c016dd2b01076,,,0.471368,14.9798,71,oI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TBCC012.BCA
Ag1Al2B1,aflow:fe19aa1c56bb4aa9,,,0.406957,14.1083,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/TFCC012.BCA
Ag1Al2B2,aflow:75f40a8e2584f78d,,,0.346994,12.6542,139,tI10,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/T0011.CAB
Ag1Al2B2,aflow:f104bc7179b134c7,,,0.321708,12.4396,139,tI10,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlB_h/T0011.BAC
Ag1Al2Ba1,aflow:0670b77c2ce374cb,,,0.305752,25.812,65,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TFCC015.BCA
Ag1Al2Ba1,aflow:0a96e4f948f31284,,,-0.014678,24.3001,47,oP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TFCC010.BCA
Ag1Al2Ba1,aflow:225c8fd200dc0bf4,,,0.044073,24.7828,119,tI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TFCC008.BCA
